"category","incident_count","sla_compliance_rate"
"Category 42",3630,0.80110192837465564738
"Category 26",3270,0.71039755351681957187
"Category 53",2657,0.62890477982687241250
"Category 46",2243,0.50334373606776638431
"Category 32",1496,0.76069518716577540107
"Category 9",1141,0.60035056967572304996
"Category 37",1135,0.67136563876651982379
"Category 23",1071,0.52474323062558356676
"Category 20",1068,0.76123595505617977528
"Category 57",918,0.61220043572984749455
"Category 61",807,0.46964064436183395291
"Category 40",689,0.25399129172714078374
"Category 24",638,0.52507836990595611285
"Category 45",629,0.23847376788553259141
"Category 51",545,0.81100917431192660550
"Category 28",523,0.75717017208413001912
"Category 35",512,0.91796875000000000000
"Category 34",498,0.33333333333333333333
"Category 44",331,0.49546827794561933535
"Category 19",221,0.49773755656108597285
"Category 43",172,0.61627906976744186047
"Category 13",119,0.60504201680672268908
"Category 55",99,0.18181818181818181818
"Category 17",75,0.58666666666666666667
"Category 8",52,0.51923076923076923077
"Category 22",47,0.23404255319148936170
"Category 56",38,0.57894736842105263158
"Category 38",37,0.54054054054054054054
"Category 41",36,0.08333333333333333333
"Category 7",31,0.38709677419354838710
"Category 54",31,0.83870967741935483871
"Category 50",24,1.00000000000000000000
"Category 31",19,0.63157894736842105263
"Category 33",15,0.06666666666666666667
"Category 63",11,0.45454545454545454545
"Category 5",10,1.00000000000000000000
"Category 21",8,0.87500000000000000000
,7,0.57142857142857142857
"Category 59",7,0.57142857142857142857
"Category 47",6,0.33333333333333333333
"Category 29",6,0.33333333333333333333
"Category 4",6,0.66666666666666666667
"Category 52",5,1.00000000000000000000
"Category 2",5,1.00000000000000000000
"Category 25",5,0.60000000000000000000
"Category 30",5,0.40000000000000000000
"Category 62",5,0.20000000000000000000
"Category 10",3,0.66666666666666666667
"Category 6",2,0.50000000000000000000
"Category 16",2,1.00000000000000000000
"Category 3",1,1.00000000000000000000
"Category 49",1,0.00000000000000000000
"Category 27",1,1.00000000000000000000
"Category 15",1,1.00000000000000000000
"Category 14",1,1.00000000000000000000
"Category 12",1,1.00000000000000000000
"Category 48",1,0.00000000000000000000
"Category 36",1,1.00000000000000000000
