"priority","category","incident_count","avg_resolution_hours","median_resolution_hours"
"1 - Critical","Category 13",2,185.1833333333333300,185.18333333333334
"1 - Critical","Category 17",3,1191.7388888888887800,69.63333333333334
"1 - Critical","Category 19",11,111.2621212121212056,29.35
"1 - Critical","Category 20",7,78.9166666666666659,30.483333333333334
"1 - Critical","Category 23",21,97.01984126984127204,29.916666666666668
"1 - Critical","Category 26",4,29.6624999999999995,34.25833333333333
"1 - Critical","Category 28",3,66.05555555555555889,72.93333333333334
"1 - Critical","Category 29",1,40.4166666666666640,40.416666666666664
"1 - Critical","Category 35",1,93.5166666666666700,93.51666666666667
"1 - Critical","Category 37",6,120.0194444444444428,59.383333333333326
"1 - Critical","Category 38",2,179.6583333333333335,179.65833333333336
"1 - Critical","Category 40",3,708.8277777777777667,838.1833333333333
"1 - Critical","Category 42",39,242.76709401709401712,69.41666666666667
"1 - Critical","Category 43",1,245.3333333333333400,245.33333333333334
"1 - Critical","Category 44",1,398.4333333333333400,398.43333333333334
"1 - Critical","Category 45",18,639.8888888888888974,313.5083333333333
"1 - Critical","Category 46",85,338.2321568627451078,120.4
"1 - Critical","Category 51",6,105.1611111111111143,51.21666666666667
"1 - Critical","Category 53",16,242.7583333333333309,149.40833333333336
"1 - Critical","Category 55",2,107.9500000000000000,107.95
"1 - Critical","Category 57",31,168.4661290322580640,97.08333333333333
"1 - Critical","Category 61",5,16.9366666666666666,6.866666666666666
"1 - Critical","Category 8",1,6.3666666666666660,6.366666666666666
"1 - Critical","Category 9",1,2.8000000000000000,2.8
"2 - High","Category 13",2,156.4166666666666600,156.41666666666666
"2 - High","Category 17",10,30.52666666666666621,17.75
"2 - High","Category 19",13,79.5602564102564111,45.55
"2 - High","Category 20",7,123.2666666666666690,87.46666666666667
"2 - High","Category 23",59,86.17401129943502895,19.733333333333334
"2 - High","Category 24",7,68.1904761904761916,5.9
"2 - High","Category 26",17,186.9362745098039226,127.91666666666667
"2 - High","Category 28",36,299.36157407407407127,358.1166666666667
"2 - High","Category 32",8,64.2604166666666659,43.51666666666667
"2 - High","Category 34",2,1330.8583333333333200,1330.8583333333333
"2 - High","Category 37",18,41.7157407407407396,23.025
"2 - High","Category 38",6,227.1527777777777700,224.35
"2 - High","Category 40",10,73.4949999999999993,49.8
"2 - High","Category 42",32,311.2963541666666781,59.94166666666666
"2 - High","Category 43",3,100.5555555555555557,149.1
"2 - High","Category 44",6,85.7694444444444417,19.116666666666667
"2 - High","Category 45",15,194.5188888888888880,73.85
"2 - High","Category 46",62,114.9892473118279589,19.366666666666667
"2 - High","Category 51",7,134.28809523809523848,54.21666666666667
"2 - High","Category 53",30,92.0788888888888898,23.2
"2 - High","Category 55",3,128.4055555555555460,24.466666666666665
"2 - High","Category 56",2,13.8249999999999994,13.825
"2 - High","Category 57",29,134.64425287356321987,40.03333333333333
"2 - High","Category 59",1,481.2500000000000000,481.25
"2 - High","Category 61",12,292.5486111111111146,59.974999999999994
"2 - High","Category 8",4,34.1083333333333328,23.008333333333333
"2 - High","Category 9",6,192.5277777777777849,125.46666666666667
"2 - High",,1,17.7166666666666650,17.716666666666665
"3 - Moderate","Category 10",3,93.4333333333333333,114.96666666666667
"3 - Moderate","Category 12",1,53.4333333333333300,53.43333333333333
"3 - Moderate","Category 13",107,91.72943925233644913,48.18333333333333
"3 - Moderate","Category 14",1,87.7666666666666700,87.76666666666667
"3 - Moderate","Category 15",1,0.36666666666666664000,0.36666666666666664
"3 - Moderate","Category 16",2,2.9666666666666668,2.966666666666667
"3 - Moderate","Category 17",58,76.77327586206896629,18.758333333333333
"3 - Moderate","Category 19",193,271.14758203799654630,67.2
"3 - Moderate","Category 2",5,148.50333333333334008,0.9666666666666667
"3 - Moderate","Category 20",908,63.681038913362702016,2.091666666666667
