"grain","period","incident_count"
"day","2016-02-29",207
"day","2016-03-01",315
"day","2016-03-02",465
"day","2016-03-03",392
"day","2016-03-04",388
"day","2016-03-05",35
"day","2016-03-06",56
"day","2016-03-07",607
"day","2016-03-08",434
"day","2016-03-09",340
"day","2016-03-10",312
"day","2016-03-11",329
"day","2016-03-12",29
"day","2016-03-13",22
"day","2016-03-14",459
"day","2016-03-15",382
"day","2016-03-16",372
"day","2016-03-17",334
"day","2016-03-18",334
"day","2016-03-19",44
"day","2016-03-20",50
"day","2016-03-21",438
"day","2016-03-22",325
"day","2016-03-23",364
"day","2016-03-24",379
"day","2016-03-25",55
"day","2016-03-26",73
"day","2016-03-27",52
"day","2016-03-28",497
"day","2016-03-29",376
"day","2016-03-30",372
"day","2016-03-31",365
"day","2016-04-01",444
"day","2016-04-02",64
"day","2016-04-03",56
"day","2016-04-04",456
"day","2016-04-05",406
"day","2016-04-06",373
"day","2016-04-07",357
"day","2016-04-08",338
"day","2016-04-09",39
"day","2016-04-10",39
"day","2016-04-11",383
"day","2016-04-12",397
"day","2016-04-13",377
"day","2016-04-14",371
"day","2016-04-15",396
"day","2016-04-16",42
"day","2016-04-17",29
"day","2016-04-18",424
"day","2016-04-19",328
"day","2016-04-20",434
"day","2016-04-21",43
"day","2016-04-22",100
"day","2016-04-23",51
"day","2016-04-24",21
"day","2016-04-25",445
"day","2016-04-26",333
"day","2016-04-27",361
"day","2016-04-28",401
"day","2016-04-29",363
"day","2016-04-30",63
"day","2016-05-01",80
"day","2016-05-02",478
"day","2016-05-03",353
"day","2016-05-04",368
"day","2016-05-05",403
"day","2016-05-06",350
"day","2016-05-07",70
"day","2016-05-08",42
"day","2016-05-09",345
"day","2016-05-10",308
"day","2016-05-11",359
"day","2016-05-12",335
"day","2016-05-13",302
"day","2016-05-14",45
"day","2016-05-15",42
"day","2016-05-16",399
"day","2016-05-17",363
"day","2016-05-18",353
"day","2016-05-19",284
"day","2016-05-20",312
"day","2016-05-21",40
"day","2016-05-22",28
"day","2016-05-23",386
"day","2016-05-24",271
"day","2016-05-25",287
"day","2016-05-26",73
"day","2016-05-27",81
"day","2016-05-28",41
"day","2016-05-29",38
"day","2016-05-30",372
"day","2016-05-31",300
"day","2016-06-02",1
"day","2016-06-10",1
"day","2016-06-20",1
"day","2016-06-22",1
"day","2016-06-24",1
"day","2016-07-04",2
"day","2016-07-05",1
"day","2016-07-06",1
"day","2016-07-11",1
"day","2016-07-12",2
"day","2016-07-14",1
"day","2016-07-18",2
"day","2016-07-19",1
"day","2016-07-21",1
"day","2016-07-25",1
"day","2016-07-29",1
"day","2016-08-01",3
"day","2016-08-03",1
"day","2016-08-04",1
"day","2016-08-05",1
"day","2016-08-08",1
"day","2016-08-09",1
"day","2016-08-10",1
"day","2016-08-11",1
"day","2016-08-16",1
"day","2016-08-22",1
"day","2016-08-23",1
"day","2016-08-26",1
"day","2016-08-31",1
