"assignment_group","incident_count","sla_breach_rate","volume_rank"
"Group 70",11041,0.22153790417534643601,1
"Group 25",1282,0.57566302652106084243,2
"Group 39",1202,0.31281198003327787022,3
"Group 24",1065,0.35211267605633802817,4
"Group 23",812,0.41379310344827586207,5
"Group 64",719,0.11265646731571627260,6
"Group 73",578,0.45847750865051903114,7
"Group 28",548,0.46350364963503649635,8
"Group 27",518,0.41698841698841698842,9
"Group 20",445,0.56404494382022471910,10
"Group 66",379,0.69129287598944591029,11
,373,0.27077747989276139410,12
"Group 72",372,0.62903225806451612903,13
"Group 10",343,0.74927113702623906706,14
"Group 65",338,0.56213017751479289941,15
"Group 57",315,0.67936507936507936508,16
"Group 55",297,0.38720538720538720539,17
"Group 29",273,0.62271062271062271062,18
"Group 30",268,0.37313432835820895522,19
"Group 6",257,0.55642023346303501946,20
"Group 22",241,0.53941908713692946058,21
"Group 54",211,0.53080568720379146919,22
"Group 31",205,0.68292682926829268293,23
"Group 33",201,0.61194029850746268657,24
"Group 76",197,0.56345177664974619289,25
"Group 37",176,0.75000000000000000000,26
"Group 56",167,0.39520958083832335329,27
"Group 46",166,0.29518072289156626506,28
"Group 48",162,0.50000000000000000000,29
"Group 5",147,0.50340136054421768707,30
"Group 58",145,0.35172413793103448276,31
"Group 12",125,0.85600000000000000000,32
"Group 49",108,0.25000000000000000000,33
"Group 74",105,0.69523809523809523810,34
"Group 3",101,0.83168316831683168317,35
"Group 9",98,0.96938775510204081633,36
"Group 53",94,0.47872340425531914894,37
"Group 69",75,0.36000000000000000000,38
"Group 75",60,0.95000000000000000000,39
"Group 21",58,0.60344827586206896552,40
"Group 15",58,0.98275862068965517241,40
"Group 50",52,0.73076923076923076923,42
"Group 34",51,0.27450980392156862745,43
"Group 68",45,0.55555555555555555556,44
"Group 47",45,0.33333333333333333333,44
"Group 59",44,0.56818181818181818182,46
"Group 62",43,0.37209302325581395349,47
"Group 51",41,0.53658536585365853659,48
"Group 61",38,0.86842105263157894737,49
"Group 19",38,0.21052631578947368421,49
"Group 13",36,0.50000000000000000000,51
"Group 60",24,0.20833333333333333333,52
"Group 26",24,0.87500000000000000000,52
"Group 35",17,0.94117647058823529412,54
"Group 14",13,1.00000000000000000000,55
"Group 17",11,0.90909090909090909091,56
"Group 45",11,0.54545454545454545455,56
"Group 44",9,0.11111111111111111111,58
"Group 32",8,0.37500000000000000000,59
"Group 43",8,0.25000000000000000000,59
"Group 2",7,0.42857142857142857143,61
"Group 63",7,0.85714285714285714286,61
"Group 67",6,0.83333333333333333333,63
"Group 36",2,0.50000000000000000000,64
"Group 18",2,1.00000000000000000000,64
"Group 8",2,0.50000000000000000000,64
"Group 82",2,0.50000000000000000000,64
"Group 71",2,1.00000000000000000000,64
"Group 78",1,0.00000000000000000000,69
"Group 80",1,1.00000000000000000000,69
"Group 77",1,1.00000000000000000000,69
"Group 41",1,0.00000000000000000000,69
"Group 7",1,1.00000000000000000000,69
